No. de registro,Año de identificación como sitio contaminado,Modalidad del sitio contaminado,Responsable de la contaminación,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Área de suelo contaminado m²,Volumen de suelo contaminado m³,Cuenta con programa de remediación aprobado,x,y
2416,2021,Emergencia ambiental,"Transporte y Servicios STN, S.A. de C.V.",Zacatecas,Concepción del Oro,"Km 239 carretera federal No. 54, tramo Saltillo-Zacatecas",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,30,24,Si,-101.362,24.606
1537,2014,Emergencia ambiental,"Aránzazu Holding, S.A. de C.V.",Zacatecas,Concepción del Oro,"Planta de la empresa domicilio conocido, Arroyos Azules S  colonia Arroyos Azules",Derrame,Minería de cobre,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas","Metales, metaloides",Metales y metaloides,43,26.8,No,-101.628,24.606
1538,2014,Emergencia ambiental,"Aránzazu Holding, S.A. de C.V.",Zacatecas,Concepción del Oro,Calle Aldama S  C.P. 98200,Derrame,Minería de cobre,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas","Metales, metaloides",Metales y metaloides,N.E.I.,N.E.I.,No,-101.426,24.612
1878,2017,Emergencia ambiental,Javier Cantú Barragán,Zacatecas,Concepción del Oro,"Km 240+000 carretera Zacatecas-Saltillo, comunidad del Concepción del Oro",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,68.4,228,Si,-101.374,24.614
2244,2020,Emergencia ambiental,"Petrocarriers, S.A. de C.V.",Tamaulipas,San Fernando,"Km 147+500 carretera Ciudad Victoria-Matamoros, cerca del Ejido de Las Norias",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,180,288,Si,-98.292,24.632
981,2011,Pasivo ambiental,"Minerales y Arcillas, S.A. de C.V.",Nuevo_León,Galeana,Carretera Galeana Dr. Arroyo km 20 Ejido Santa Clara González,Derrames y/o fugas,N.E.I.,N.E.I.,Hidrocarburos pesados,Hidrocarburos,32,5.94,No,-100.023,24.644
1567,2014,Emergencia ambiental,"Grupo Aldama, S.A. de C.V.",Zacatecas,Mazapil,Km 187+900 carretera estatal tramo Mazapil-Cedros ,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,88,101.6,Si,-101.752,24.663
2158,2019,Emergencia ambiental,"Agrícola Comercial del Valle de Santo Domingo, S.A. de C.V.",Baja_California_Sur,Comondú,"Carretera La Paz-Ciudad Constitución, km 167",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,45,81,Si,-111.506,24.67
2417,2021,Emergencia ambiental,"Autotanques CJA, S.A. de C.V.",Zacatecas,Concepción del Oro,Km 255+000 carretera No. 54 Zacatecas-Saltillo,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,270,486,Si,-101.282,24.676
406,2009,Pasivo ambiental,"Compañía Minera Noche Buena, S.A. de C.V.",Zacatecas,Melchor Ocampo,"Carretera 54 Zacatecas-Saltillo, entronque Providencia",Derrames y/o fugas,Minería de otros minerales metálicos,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas","Metales, metaloides",Metales y metaloides,N.E.I.,N.E.I.,No,-101.646,24.712
2130,2021,Emergencia ambiental,"Transfletera del Norte, S.A. de C.V.",Zacatecas,Concepción del Oro,"Carretera No. 54, km 265+500, Zacatecas-Saltillo",Derrame,Otro autotransporte foráneo de carga general,Autotransporte de carga,"Ácidos, metales",Mezcla de contaminantes,242.938,208.51,No,-101.202,24.732
2351,2022,Emergencia ambiental,Javier Cantú Barragán,Coahuila_de_Zaragoza,Saltillo,"Km 268+500 carretera Zacatecas-Saltillo, tramo Zacatecas-Saltillo",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,150,345,Si,-101.163,24.753
1789,2016,Emergencia ambiental,Pemex Refinación,Sinaloa,Culiacán,"Km 210+000 del derecho de vía del poliducto de 10"" Ø Topolobampo-Culiacán",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,3.7,4.43,No,-107.526,24.843
2432,2021,Emergencia ambiental,"Ultradiésel XXI, S.A. de C.V.",Sinaloa,Navolato,Km 028+200 autopista Culiacán-Guasave,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,83,210.27,No,-107.631,24.863
1772,2016,Emergencia ambiental,Pemex Refinación,Sinaloa,Culiacán,"Km 206+500 poliducto de 10"" Ø Topolobampo-Culiacán",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,155.77,186.27,No,-107.546,24.865
2480,2022,Emergencia ambiental,"Fletes Veintemil, S.A. de C.V.",Coahuila_de_Zaragoza,Saltillo,km 285 carretera federal N.o. 54 Saltillo-Zacatecas,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,192,422.4,Si,-101.08,24.872
1779,2016,Emergencia ambiental,Pemex Refinación,Sinaloa,Culiacán,"Km 204+000 poliducto 10"" Ø Topolobampo-Culiacán",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,1500.27,2316.07,No,-107.858,24.875
1776,2016,Emergencia ambiental,Pemex Refinación,Sinaloa,Culiacán,"Km 205+478 del derecho de vía del poliducto de 10"" Ø Topolobampo-Culiacán, ubicado en inmediaciones del Rancho San Francisco",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,362.5,1207.44,No,-107.557,24.876
1833,2016,Emergencia ambiental,Pemex Transformación Industrial,Sinaloa,Culiacán,"Km 203+751 y 203+748 del poliducto de 10"" Ø Topolobampo-Guamúchil-Culiacán",Derrame,Transporte por ductos de productos refinados del petróleo,Transporte por ductos,Petrolíferos,Hidrocarburos,52085.26,40551.67,Si,-107.564,24.883
1888,2017,Emergencia ambiental,"Transportes Larraga, S.A. de C.V.",Nuevo_León,Linares,"Km 158+600 carretera No. 490D Ciudad Victoria-Monterrey, tramo Linares-Monterrey",Derrame,Otro autotransporte foráneo de carga general,Autotransporte de carga,Hidrocarburos,Hidrocarburos,1092,816.75,Si,-99.607,24.886
1416,2013,Emergencia ambiental,"Transportes de Carga FEMA, S.A. de C.V.",Nuevo_León,Galeana,"Km 166+200 camino nacional No. 57, Matehuala-Saltillo, tramo Los Pocitos-límites de los estados Nuevo León-Coahuila",Derrame,Otro autotransporte foráneo de carga general,Autotransporte de carga,Plaguicidas,Plaguicidas,808.05,96.65,No,-100.459,24.951
1843,2016,Emergencia ambiental,Javier Cantú Barragán,Coahuila_de_Zaragoza,Saltillo,Km 297+400 carretera Zacatecas-Saltillo,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,530,159,Si,-101.083,24.98
1782,2016,Emergencia ambiental,Pemex Refinación,Sinaloa,Mocorito,"Km 187+400 del derecho de vía del poliducto de 10"" Ø Topolobampo-Culiacán",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,579.8,1673.33,Si,-107.673,24.994
1793,2016,Emergencia ambiental,Pemex Refinación,Sinaloa,Mocorito,"Km 184+222 del derecho de vía del poliducto de 10"" Ø Topolobampo-Culiacán",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,150.64,183.64,No,-107.693,25.012
1494,2013,Emergencia ambiental,"Setramex, S.A. de C.V.",Tamaulipas,San Fernando,"Km 191+150 carretera No. 101, Ciudad Victoria-Matamoros, tramo San Fernando entronque Urracas",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Ácidos,Ácidos y bases,290,87,Si,-98.094,25.02
578,2010,Emergencia ambiental,"Lubricantes Juguer, S.A. de C.V.",Durango,Santiago Papasquiaro,Km 009+330 carretera Ciénega de Nuestra Señora-Santiago Papasquiaro,Derrame,"Comercio al por menor de aceites y grasas lubricantes, aditivos y similares para vehículos de motor","Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",Hidrocarburos pesados,Hidrocarburos,203.5,50.88,Si,-106.263,25.04
294,2009,Emergencia ambiental,"Royal Transports, S.A. de C.V.",Tamaulipas,San Fernando,Km 200+450 carretera No. 101 Ciudad Victoria-Matamoros,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Hidrocarburos pesados,Hidrocarburos,625.47,948.21,Si,-98.071,25.057
1788,2016,Emergencia ambiental,Pemex Refinación,Sinaloa,Mocorito,"Km 175+000 del derecho de vía del poliducto de 10"" Ø Topolobampo-Culiacán",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,115.5,138.04,No,-107.749,25.067
1767,2016,Emergencia ambiental,Pemex Refinación,Sinaloa,Mocorito,"Km 171+516 del derecho de vía del poliducto de 10"" Ø, Topolobampo-Culiacán",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,2535.44,2123.9,No,-107.778,25.095
728,2011,Emergencia ambiental,Pemex Refinación,Sinaloa,Mocorito,"Km 170+000 poliducto de 10"" Ø Topolobampo-Culiacán, Sector Ductos Topolobampo",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,82,164,Si,-107.786,25.1
1780,2016,Emergencia ambiental,Pemex Refinación,Sinaloa,Mocorito,"Km 165+500 del derecho de vía del poliducto de 10"" Ø Topolobampo-Culiacán",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,976.12,2263.38,No,-107.808,25.135
2293,2021,Emergencia ambiental,"Kansas City Southern de México, S.A. de C.V.",Coahuila_de_Zaragoza,Saltillo,Km de vía punta norte PK B 901 en la localidad de los Viñedos del Álamo,Derrames y/o fugas,Transporte por ferrocarril,Transporte por ferrocarril,Petrolíferos,Hidrocarburos,527.39,606.49,Si,-101.044,25.36
1246,2012,Emergencia ambiental,"Productos y Asfaltos Procesados, S.A. de C.V.",Nuevo_León,Santiago,"Km 016+000 carretera No. 20 Santiago-Saltillo, en el tramo Santiago-Laguna de Sánchez",Derrame,Fabricación de productos de asfalto,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,625.37,55,Si,-100.437,25.369
207,2009,Pasivo ambiental,Ferrocarriles Nacionales de México en Liquidación,Coahuila_de_Zaragoza,Saltillo,Ex taller de Ferrocarriles Nacionales de México en Liquidación,Derrames y/o fugas,Transporte por ferrocarril,Transporte por ferrocarril,Hidrocarburos de  fracción media y pesados,Hidrocarburos,1030,1660,Si,-101.016,25.42
1761,2015,Emergencia ambiental,Pemex Refinación,Sinaloa,Salvador Alvarado,"Km 126+500 del derecho de vía del poliducto de 10"" Ø Topolobampo-Guamúchil-Culiacán",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,108.9,119.61,Si,-108.035,25.424
2002,2018,Emergencia ambiental,"Transportes José Guajardo, S.A. de C.V.",Coahuila_de_Zaragoza,Saltillo,Km 29 carretera No. 40 Monterrey-Saltillo,Derrame,Otro autotransporte foráneo de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,100,30,No,-101.253,25.439
2468,2022,Emergencia ambiental,"Servicios Especializados Alanis, S.A. de C.V.",Coahuila_de_Zaragoza,Saltillo,Km 017+100 carretera federal No. 40 Saltillo-Matamoros,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,477.5,640,Si,-101.139,25.46
1403,2013,Emergencia ambiental,Gilberto Sánchez Valdés ,Coahuila_de_Zaragoza,Saltillo,Km 16.9 carretera No. 54 Saltillo-Torreón ,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,466.24,536.2,Si,-101.139,25.46
1742,2015,Emergencia ambiental,Pemex Refinación,Sinaloa,Salvador Alvarado,"Km 121+100 poliducto de 10"" Ø Topolobampo-Guamúchil-Culiacán",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,937.27,4174.82,No,-108.06,25.462
